age,gender,income,education,marital_status,credit_score,loan_amount,employment_status,dependents,home_ownership,loan_purpose,loan_status
22,Female,76,PhD,Married,684,28,Employed,0,Own,Personal,Rejected
50,Male,138,PhD,Single,710,2,Unemployed,1,Own,Car,Rejected
53,Male,71,High School,Divorced,607,32,Employed,4,Own,Education,Rejected
64,Male,114,PhD,Divorced,539,26,Unemployed,2,Own,Home,Rejected
37,Male,108,Bachelor,Married,666,5,Employed,3,Rent,Business,Approved
36,Female,29,Master,Divorced,603,11,Unemployed,1,Own,Personal,Approved
52,Male,71,Master,Single,466,10,Retired,1,Own,Education,Rejected
69,Female,53,Bachelor,Divorced,600,15,Retired,0,Rent,Education,Approved
60,Male,134,PhD,Widowed,504,18,Unemployed,2,Mortgage,Education,Rejected
34,Female,144,PhD,Widowed,494,49,Self-Employed,0,Rent,Car,Rejected
62,Female,62,Bachelor,Married,470,14,Unemployed,4,Rent,Education,Rejected
60,Male,48,Master,Widowed,701,28,Employed,4,Mortgage,Business,Approved
51,Male,125,High School,Widowed,338,30,Self-Employed,5,Rent,Education,Approved
26,Female,139,Master,Divorced,551,13,Self-Employed,2,Mortgage,Home,Rejected
43,Female,100,PhD,Single,582,20,Self-Employed,3,Own,Education,Rejected
19,Female,50,Master,Single,506,2,Unemployed,5,Rent,Personal,Rejected
70,Male,147,PhD,Divorced,799,25,Unemployed,5,Mortgage,Personal,Approved
26,Male,57,Master,Widowed,442,44,Self-Employed,4,Own,Home,Rejected
26,Female,120,Bachelor,Divorced,318,43,Unemployed,4,Mortgage,Personal,Rejected
57,Male,149,PhD,Widowed,319,12,Retired,3,Mortgage,Car,Approved
34,Female,31,High School,Widowed,747,25,Employed,5,Mortgage,Business,Approved
18,Male,54,High School,Widowed,525,4,Employed,1,Rent,Business,Approved
42,Male,129,Bachelor,Single,400,42,Employed,2,Own,Car,Rejected
60,Male,91,Master,Married,593,12,Unemployed,1,Mortgage,Personal,Approved
57,Male,129,Bachelor,Single,849,7,Employed,0,Own,Home,Approved
59,Male,80,Bachelor,Widowed,364,38,Retired,3,Mortgage,Home,Approved
42,Female,67,High School,Divorced,798,40,Employed,2,Mortgage,Business,Rejected
56,Female,90,High School,Divorced,375,32,Retired,3,Rent,Home,Rejected
52,Male,87,PhD,Widowed,424,43,Unemployed,3,Own,Car,Rejected
20,Female,41,PhD,Married,326,6,Unemployed,1,Mortgage,Business,Rejected
67,Female,51,PhD,Single,575,27,Employed,1,Mortgage,Education,Rejected
54,Male,142,Bachelor,Single,382,35,Self-Employed,0,Own,Car,Rejected
61,Female,41,Bachelor,Widowed,785,21,Retired,2,Mortgage,Car,Approved
61,Male,129,PhD,Widowed,762,20,Self-Employed,3,Rent,Home,Rejected
68,Female,34,High School,Married,305,19,Retired,5,Rent,Home,Rejected
47,Female,143,High School,Single,667,33,Unemployed,0,Rent,Home,Rejected
55,Female,63,Master,Married,770,4,Unemployed,3,Mortgage,Education,Rejected
51,Female,134,PhD,Single,748,19,Retired,0,Rent,Car,Approved
29,Female,28,Bachelor,Married,669,49,Retired,3,Mortgage,Personal,Rejected
36,Female,53,Master,Married,639,28,Unemployed,1,Rent,Business,Rejected
54,Female,92,Master,Married,577,22,Retired,4,Own,Home,Rejected
61,Male,64,Master,Divorced,639,24,Retired,0,Rent,Home,Approved
66,Male,91,PhD,Divorced,379,46,Self-Employed,0,Own,Car,Approved
34,Male,77,PhD,Divorced,366,30,Employed,4,Rent,Education,Rejected
27,Male,134,PhD,Single,514,29,Self-Employed,1,Mortgage,Home,Approved
66,Female,38,High School,Married,715,10,Unemployed,0,Own,Education,Rejected
64,Female,35,Master,Widowed,444,32,Self-Employed,1,Own,Education,Rejected
29,Female,94,High School,Widowed,585,9,Unemployed,5,Mortgage,Personal,Rejected
33,Male,125,PhD,Single,839,25,Retired,3,Own,Education,Approved
41,Male,93,High School,Single,346,16,Employed,5,Own,Personal,Approved
36,Male,37,High School,Widowed,536,15,Unemployed,3,Mortgage,Business,Approved
25,Female,62,Bachelor,Married,416,48,Employed,4,Own,Education,Rejected
48,Male,69,PhD,Divorced,450,18,Employed,2,Own,Business,Rejected
38,Female,22,Master,Single,382,23,Self-Employed,1,Mortgage,Education,Rejected
34,Male,78,PhD,Single,356,42,Unemployed,2,Own,Personal,Rejected
40,Female,47,High School,Single,684,3,Self-Employed,2,Mortgage,Personal,Rejected
54,Male,65,PhD,Widowed,519,7,Retired,1,Own,Business,Rejected
33,Female,83,PhD,Divorced,584,39,Retired,2,Mortgage,Car,Rejected
23,Male,89,Bachelor,Married,733,11,Unemployed,0,Rent,Car,Rejected
25,Male,66,Bachelor,Married,619,24,Unemployed,3,Own,Car,Rejected
42,Female,125,PhD,Widowed,541,35,Retired,5,Own,Education,Rejected
35,Female,100,Bachelor,Single,764,50,Unemployed,4,Rent,Car,Rejected
42,Male,70,High School,Widowed,502,25,Self-Employed,1,Rent,Business,Approved
29,Female,48,High School,Widowed,848,28,Self-Employed,4,Mortgage,Car,Approved
32,Male,132,High School,Married,744,12,Unemployed,5,Own,Business,Approved
43,Female,147,Bachelor,Divorced,434,23,Self-Employed,3,Own,Business,Rejected
58,Male,109,PhD,Married,840,17,Unemployed,4,Mortgage,Education,Rejected
62,Female,44,High School,Widowed,786,41,Self-Employed,1,Rent,Personal,Rejected
43,Male,60,Master,Widowed,785,37,Self-Employed,4,Own,Education,Rejected
64,Male,88,High School,Single,704,18,Employed,2,Rent,Education,Rejected
49,Male,23,PhD,Single,732,9,Self-Employed,2,Mortgage,Home,Rejected
27,Female,124,High School,Widowed,847,45,Unemployed,3,Own,Car,Rejected
33,Male,50,Master,Married,549,35,Self-Employed,2,Mortgage,Car,Approved
24,Female,150,High School,Single,379,36,Self-Employed,4,Mortgage,Business,Rejected
34,Female,136,High School,Divorced,314,18,Retired,0,Own,Personal,Rejected
40,Female,109,PhD,Divorced,339,20,Unemployed,4,Rent,Car,Rejected
43,Male,85,High School,Widowed,380,21,Self-Employed,0,Rent,Car,Rejected
38,Female,107,High School,Divorced,809,47,Employed,4,Mortgage,Personal,Approved
39,Female,43,Bachelor,Divorced,606,20,Retired,0,Mortgage,Car,Approved
24,Female,118,PhD,Single,696,6,Employed,0,Rent,Home,Rejected
31,Male,124,PhD,Single,503,9,Employed,1,Mortgage,Car,Approved
32,Female,38,PhD,Married,510,43,Retired,1,Mortgage,Home,Rejected
70,Female,85,PhD,Single,698,29,Employed,5,Own,Education,Approved
24,Female,79,High School,Married,672,29,Unemployed,4,Mortgage,Education,Approved
26,Female,134,Master,Single,688,13,Unemployed,2,Mortgage,Home,Rejected
68,Male,34,Master,Widowed,557,36,Employed,1,Own,Business,Approved
65,Male,104,Bachelor,Married,414,27,Unemployed,0,Rent,Home,Rejected
25,Female,107,High School,Widowed,633,47,Self-Employed,4,Own,Business,Rejected
67,Female,26,PhD,Married,648,49,Self-Employed,2,Rent,Personal,Approved
40,Female,25,PhD,Divorced,532,44,Self-Employed,4,Own,Personal,Rejected
46,Female,144,Master,Married,808,6,Employed,0,Mortgage,Home,Approved
35,Male,52,Bachelor,Married,748,39,Employed,1,Rent,Business,Rejected
48,Male,77,High School,Married,376,32,Unemployed,1,Own,Education,Rejected
47,Male,129,Bachelor,Married,397,49,Unemployed,3,Own,Home,Rejected
69,Male,61,High School,Married,761,43,Unemployed,3,Rent,Home,Approved
56,Female,113,Bachelor,Divorced,799,44,Employed,5,Rent,Business,Approved
52,Female,148,Bachelor,Married,337,28,Unemployed,5,Rent,Personal,Rejected
35,Male,98,PhD,Widowed,657,45,Self-Employed,5,Rent,Education,Rejected
59,Male,114,Master,Married,541,1,Self-Employed,4,Own,Business,Approved
56,Female,130,PhD,Married,350,50,Retired,4,Rent,Business,Rejected
34,Female,116,Master,Widowed,724,43,Retired,2,Rent,Education,Approved
31,Female,138,Bachelor,Single,426,31,Retired,5,Rent,Home,Rejected
48,Female,88,High School,Single,402,30,Self-Employed,1,Mortgage,Home,Rejected
41,Female,71,PhD,Divorced,776,18,Employed,5,Rent,Car,Approved
52,Male,141,High School,Married,528,29,Unemployed,1,Mortgage,Education,Approved
61,Male,48,PhD,Married,735,42,Unemployed,5,Rent,Business,Rejected
62,Female,123,PhD,Single,684,38,Employed,3,Rent,Car,Rejected
51,Female,20,PhD,Married,384,23,Retired,0,Own,Car,Rejected
20,Male,48,High School,Divorced,658,22,Employed,0,Own,Car,Rejected
54,Female,88,PhD,Widowed,326,2,Self-Employed,5,Own,Home,Rejected
60,Male,72,PhD,Married,371,5,Employed,3,Own,Personal,Rejected
57,Male,143,PhD,Widowed,394,42,Self-Employed,4,Rent,Car,Rejected
43,Male,107,High School,Divorced,725,15,Self-Employed,5,Mortgage,Business,Approved
40,Male,102,PhD,Single,305,32,Retired,5,Rent,Home,Approved
61,Female,31,High School,Divorced,389,46,Unemployed,1,Rent,Personal,Rejected
56,Female,71,Master,Divorced,521,6,Retired,1,Rent,Personal,Rejected
32,Male,148,PhD,Divorced,451,14,Self-Employed,5,Own,Car,Approved
66,Female,146,Bachelor,Divorced,511,24,Retired,1,Rent,Car,Rejected
21,Female,90,Master,Widowed,562,21,Unemployed,0,Rent,Home,Rejected
46,Female,36,High School,Divorced,681,14,Retired,4,Mortgage,Car,Approved
39,Female,22,Bachelor,Divorced,356,12,Self-Employed,5,Own,Home,Rejected
42,Male,48,High School,Divorced,725,4,Unemployed,0,Mortgage,Personal,Rejected
30,Female,41,High School,Divorced,441,44,Retired,4,Mortgage,Business,Rejected
35,Male,73,PhD,Widowed,823,21,Employed,3,Rent,Business,Approved
50,Male,126,Bachelor,Divorced,314,17,Unemployed,4,Mortgage,Education,Approved
33,Female,88,High School,Single,307,29,Retired,0,Mortgage,Education,Rejected
62,Male,139,Master,Divorced,530,16,Employed,1,Rent,Education,Rejected
59,Female,66,PhD,Divorced,485,18,Unemployed,0,Own,Business,Rejected
61,Female,39,Master,Married,352,38,Employed,3,Rent,Car,Rejected
19,Male,40,Master,Married,436,41,Retired,1,Own,Home,Rejected
52,Female,20,PhD,Married,473,44,Employed,0,Mortgage,Business,Rejected
59,Male,36,High School,Divorced,518,11,Employed,1,Own,Education,Rejected
51,Male,70,Master,Single,562,32,Self-Employed,3,Rent,Education,Approved
47,Female,33,High School,Single,554,28,Employed,4,Own,Car,Rejected
30,Female,78,High School,Married,569,16,Unemployed,4,Rent,Education,Rejected
30,Female,102,PhD,Married,523,34,Employed,2,Rent,Education,Rejected
35,Male,69,Master,Divorced,433,50,Employed,1,Rent,Home,Rejected
49,Female,143,Master,Single,462,30,Unemployed,5,Own,Car,Rejected
49,Male,53,PhD,Single,372,38,Retired,3,Mortgage,Personal,Approved
52,Male,25,High School,Married,842,22,Retired,0,Mortgage,Personal,Rejected
56,Female,128,High School,Single,783,5,Employed,5,Mortgage,Education,Rejected
63,Female,68,PhD,Married,554,9,Unemployed,0,Own,Education,Rejected
69,Female,25,High School,Married,497,13,Employed,2,Own,Home,Rejected
46,Male,136,High School,Widowed,726,39,Unemployed,0,Own,Personal,Rejected
66,Female,137,Master,Widowed,792,23,Unemployed,3,Own,Car,Rejected
46,Male,26,High School,Divorced,381,27,Retired,3,Rent,Car,Approved
70,Female,116,High School,Married,607,32,Employed,4,Rent,Business,Approved
61,Female,137,High School,Divorced,673,31,Employed,1,Mortgage,Business,Rejected
33,Male,148,High School,Widowed,758,33,Employed,1,Own,Car,Rejected
61,Male,46,PhD,Single,800,42,Employed,0,Mortgage,Business,Rejected
64,Female,135,PhD,Widowed,656,26,Employed,1,Rent,Home,Approved
27,Female,150,PhD,Widowed,595,18,Employed,2,Own,Education,Rejected
47,Female,77,High School,Widowed,599,12,Self-Employed,1,Mortgage,Car,Rejected
42,Female,108,PhD,Single,642,3,Employed,5,Own,Personal,Approved
56,Female,116,Bachelor,Widowed,419,5,Self-Employed,0,Mortgage,Personal,Rejected
37,Male,36,Bachelor,Married,485,14,Self-Employed,1,Own,Car,Rejected
22,Male,120,Bachelor,Married,457,47,Self-Employed,5,Mortgage,Business,Approved
18,Male,48,Master,Widowed,527,12,Employed,3,Own,Business,Approved
47,Male,121,High School,Divorced,607,4,Unemployed,3,Mortgage,Car,Rejected
66,Female,142,Master,Divorced,533,16,Retired,4,Rent,Car,Rejected
20,Male,73,PhD,Single,310,11,Unemployed,4,Mortgage,Car,Approved
62,Male,46,High School,Single,474,36,Unemployed,4,Mortgage,Home,Rejected
31,Male,121,Bachelor,Married,301,38,Employed,4,Rent,Personal,Rejected
47,Female,136,High School,Married,481,48,Unemployed,1,Rent,Home,Rejected
67,Male,123,Master,Widowed,649,2,Unemployed,5,Mortgage,Home,Approved
21,Female,64,PhD,Divorced,681,13,Employed,0,Own,Education,Rejected
35,Male,133,PhD,Married,596,8,Employed,1,Rent,Home,Rejected
54,Female,106,Master,Divorced,496,44,Retired,0,Own,Personal,Rejected
42,Male,50,High School,Single,585,21,Retired,0,Rent,Business,Rejected
65,Female,56,Master,Single,821,26,Self-Employed,0,Mortgage,Personal,Rejected
18,Male,55,PhD,Widowed,524,38,Retired,0,Mortgage,Car,Rejected
70,Female,138,Bachelor,Widowed,585,35,Employed,3,Rent,Car,Rejected
63,Female,24,PhD,Married,630,15,Unemployed,5,Mortgage,Car,Approved
32,Male,71,PhD,Divorced,462,40,Employed,0,Own,Home,Approved
26,Female,68,High School,Married,492,30,Employed,1,Mortgage,Education,Rejected
32,Female,25,Bachelor,Married,444,2,Unemployed,0,Mortgage,Business,Rejected
66,Male,142,PhD,Divorced,837,16,Retired,3,Mortgage,Home,Approved
41,Male,137,Bachelor,Married,569,13,Unemployed,1,Rent,Car,Rejected
21,Female,42,Master,Widowed,350,1,Employed,5,Rent,Personal,Rejected
29,Male,129,High School,Divorced,826,43,Retired,2,Mortgage,Car,Rejected
54,Male,63,Bachelor,Divorced,427,28,Employed,1,Rent,Personal,Rejected
54,Male,60,Bachelor,Married,345,1,Employed,3,Own,Business,Rejected
60,Female,69,High School,Divorced,533,40,Retired,5,Own,Car,Rejected
23,Female,71,Master,Widowed,747,34,Unemployed,3,Own,Business,Approved
56,Female,89,Bachelor,Widowed,742,13,Self-Employed,4,Own,Car,Approved
63,Female,128,High School,Single,802,2,Retired,2,Mortgage,Car,Rejected
41,Female,137,PhD,Single,584,4,Employed,0,Rent,Personal,Rejected
28,Female,128,High School,Single,431,25,Employed,3,Own,Education,Rejected
30,Female,114,PhD,Single,775,34,Retired,4,Mortgage,Personal,Approved
51,Male,63,Bachelor,Married,843,13,Employed,4,Own,Home,Rejected
42,Female,86,Bachelor,Single,655,36,Self-Employed,5,Rent,Business,Approved
24,Female,86,Bachelor,Single,336,32,Retired,0,Rent,Business,Rejected
69,Male,37,Master,Single,437,21,Employed,5,Rent,Education,Rejected
21,Male,79,Master,Single,721,26,Self-Employed,1,Own,Car,Approved
25,Male,93,PhD,Married,744,15,Employed,2,Own,Business,Approved
37,Female,68,High School,Single,541,29,Retired,0,Own,Education,Rejected
46,Male,34,PhD,Divorced,544,26,Unemployed,5,Mortgage,Home,Approved
70,Female,92,High School,Widowed,838,21,Self-Employed,0,Mortgage,Business,Approved
68,Female,67,Bachelor,Divorced,508,12,Retired,1,Rent,Home,Rejected
62,Female,91,High School,Married,756,12,Retired,1,Rent,Personal,Approved
63,Male,132,Master,Married,398,5,Retired,3,Own,Business,Rejected
27,Male,148,High School,Married,801,42,Unemployed,1,Rent,Business,Approved
60,Female,72,High School,Widowed,436,26,Employed,1,Rent,Car,Rejected
51,Female,37,Bachelor,Single,486,32,Unemployed,2,Mortgage,Home,Rejected
43,Female,31,Bachelor,Married,335,2,Retired,5,Rent,Personal,Rejected
58,Male,67,Master,Single,778,8,Self-Employed,5,Own,Education,Rejected
66,Female,49,High School,Married,354,27,Employed,2,Mortgage,Personal,Rejected
20,Male,116,High School,Widowed,770,37,Unemployed,2,Own,Business,Rejected
23,Female,26,High School,Divorced,383,8,Self-Employed,0,Own,Home,Rejected
22,Male,111,Bachelor,Divorced,305,24,Retired,2,Mortgage,Business,Approved
22,Female,132,Master,Widowed,662,13,Self-Employed,2,Own,Education,Rejected
64,Male,22,High School,Single,469,29,Self-Employed,4,Rent,Education,Rejected
40,Male,126,High School,Married,548,13,Retired,2,Rent,Business,Approved
66,Male,82,High School,Divorced,509,23,Unemployed,0,Mortgage,Business,Approved
26,Male,121,High School,Widowed,543,47,Retired,5,Rent,Business,Approved
52,Male,34,Master,Single,440,15,Self-Employed,4,Own,Home,Rejected
37,Male,110,Master,Divorced,479,24,Retired,0,Mortgage,Car,Rejected
66,Female,100,Master,Widowed,316,43,Employed,0,Mortgage,Education,Rejected
59,Female,80,Bachelor,Married,315,23,Employed,4,Own,Home,Rejected
52,Female,139,High School,Widowed,684,10,Self-Employed,4,Own,Education,Approved
67,Female,80,High School,Single,640,38,Retired,4,Own,Business,Rejected
35,Male,72,High School,Divorced,345,5,Self-Employed,4,Mortgage,Education,Rejected
34,Female,45,High School,Married,803,5,Retired,0,Mortgage,Personal,Approved
41,Male,134,PhD,Single,442,31,Employed,4,Own,Education,Rejected
20,Male,59,Master,Widowed,584,40,Employed,1,Mortgage,Personal,Rejected
49,Male,107,PhD,Divorced,654,1,Self-Employed,5,Own,Home,Rejected
52,Female,135,PhD,Divorced,824,2,Employed,2,Rent,Home,Rejected
55,Male,40,Bachelor,Single,346,49,Self-Employed,2,Mortgage,Personal,Rejected
30,Female,62,Bachelor,Married,827,29,Unemployed,5,Mortgage,Education,Rejected
64,Female,40,High School,Single,406,7,Self-Employed,1,Mortgage,Home,Rejected
42,Female,150,PhD,Divorced,302,29,Retired,5,Own,Education,Rejected
26,Female,50,PhD,Divorced,394,9,Retired,0,Mortgage,Car,Rejected
21,Female,46,Master,Divorced,432,36,Retired,0,Own,Car,Rejected
31,Male,92,PhD,Married,500,7,Self-Employed,2,Mortgage,Personal,Approved
54,Male,116,Bachelor,Divorced,553,28,Unemployed,3,Mortgage,Personal,Approved
51,Female,109,PhD,Divorced,482,10,Self-Employed,5,Mortgage,Education,Rejected
28,Male,63,Bachelor,Single,449,16,Self-Employed,1,Mortgage,Car,Approved
58,Female,62,High School,Divorced,848,10,Unemployed,1,Rent,Car,Rejected
20,Male,50,Bachelor,Widowed,789,39,Employed,2,Rent,Personal,Rejected
45,Male,136,High School,Single,804,26,Employed,4,Rent,Business,Rejected
46,Male,95,Master,Divorced,712,34,Employed,5,Own,Education,Rejected
26,Male,53,High School,Single,807,34,Employed,3,Rent,Education,Approved
20,Male,99,PhD,Single,703,40,Employed,0,Own,Home,Approved
42,Male,23,Bachelor,Widowed,535,14,Unemployed,0,Rent,Personal,Rejected
51,Male,91,High School,Single,844,18,Unemployed,0,Own,Home,Approved
29,Male,117,High School,Single,841,1,Self-Employed,0,Mortgage,Business,Rejected
59,Male,129,High School,Married,733,17,Employed,1,Mortgage,Home,Rejected
26,Male,47,High School,Divorced,845,49,Retired,1,Rent,Business,Approved
32,Male,149,High School,Married,507,22,Unemployed,4,Own,Home,Rejected
57,Male,36,High School,Divorced,439,37,Unemployed,1,Mortgage,Personal,Rejected
42,Male,77,Bachelor,Single,606,16,Employed,4,Mortgage,Business,Approved
22,Female,146,PhD,Divorced,397,7,Retired,4,Rent,Education,Rejected
28,Male,28,PhD,Single,424,15,Retired,0,Own,Personal,Rejected
51,Male,50,High School,Divorced,648,21,Unemployed,0,Mortgage,Personal,Approved
41,Male,107,Bachelor,Single,433,2,Self-Employed,1,Own,Car,Approved
32,Male,81,High School,Divorced,525,48,Retired,1,Own,Education,Approved
55,Male,38,Master,Divorced,848,25,Self-Employed,4,Own,Home,Rejected
25,Male,100,PhD,Divorced,638,9,Employed,2,Own,Personal,Approved
22,Female,126,High School,Single,621,20,Employed,0,Own,Home,Approved
65,Female,74,Bachelor,Divorced,386,50,Employed,3,Rent,Personal,Rejected
43,Female,131,PhD,Single,394,10,Self-Employed,2,Rent,Education,Rejected
35,Male,142,Bachelor,Married,495,21,Unemployed,0,Mortgage,Personal,Approved
23,Male,84,Master,Divorced,491,4,Self-Employed,0,Own,Home,Rejected
54,Male,143,High School,Widowed,821,30,Employed,1,Own,Home,Approved
65,Female,22,Master,Widowed,312,34,Retired,3,Mortgage,Education,Rejected
30,Male,40,PhD,Single,553,30,Unemployed,5,Own,Home,Rejected
45,Male,56,High School,Widowed,380,14,Self-Employed,3,Mortgage,Business,Approved
22,Female,34,PhD,Single,672,22,Retired,0,Rent,Personal,Rejected
30,Female,106,High School,Single,693,1,Retired,5,Own,Business,Rejected
34,Male,139,Bachelor,Widowed,717,8,Employed,5,Own,Car,Approved
67,Male,63,PhD,Widowed,358,11,Employed,4,Own,Car,Rejected
57,Male,58,Master,Married,427,1,Retired,3,Own,Personal,Approved
62,Male,44,Master,Single,840,5,Unemployed,2,Own,Home,Rejected
49,Female,75,Bachelor,Widowed,632,45,Self-Employed,4,Rent,Education,Approved
46,Male,140,Bachelor,Married,581,49,Unemployed,1,Own,Car,Approved
68,Male,109,Master,Married,506,10,Unemployed,0,Own,Home,Approved
20,Female,83,Bachelor,Single,571,39,Self-Employed,0,Mortgage,Education,Rejected
57,Male,108,High School,Divorced,608,13,Self-Employed,2,Rent,Personal,Rejected
51,Male,131,Master,Widowed,702,21,Self-Employed,2,Own,Home,Approved
57,Female,95,PhD,Widowed,474,36,Unemployed,5,Own,Business,Rejected
44,Female,29,Master,Widowed,517,45,Unemployed,1,Rent,Personal,Rejected
30,Male,81,Bachelor,Widowed,625,33,Self-Employed,1,Mortgage,Car,Approved
62,Female,109,High School,Widowed,552,43,Retired,5,Rent,Personal,Rejected
50,Female,79,PhD,Widowed,753,28,Retired,5,Rent,Personal,Approved
23,Male,126,Master,Married,488,9,Self-Employed,3,Mortgage,Education,Rejected
41,Female,57,Master,Single,742,45,Unemployed,4,Rent,Car,Rejected
36,Male,66,PhD,Married,429,11,Self-Employed,0,Mortgage,Education,Rejected
33,Male,97,High School,Widowed,784,40,Employed,3,Mortgage,Personal,Rejected
57,Male,72,Bachelor,Single,302,29,Retired,1,Own,Home,Approved
45,Male,81,Bachelor,Widowed,650,7,Retired,2,Own,Business,Rejected
50,Female,42,Bachelor,Single,432,27,Retired,3,Rent,Business,Rejected
65,Male,63,Bachelor,Married,793,22,Self-Employed,2,Own,Education,Rejected
58,Male,71,PhD,Single,565,31,Employed,5,Mortgage,Home,Rejected
30,Male,65,High School,Married,323,30,Retired,4,Mortgage,Business,Approved
60,Male,103,High School,Widowed,833,28,Employed,2,Rent,Home,Rejected
62,Female,66,Master,Single,302,20,Unemployed,0,Rent,Education,Rejected
42,Female,110,Master,Divorced,726,15,Unemployed,4,Own,Car,Approved
70,Female,71,High School,Divorced,303,15,Retired,2,Rent,Home,Rejected
59,Male,43,Master,Married,802,12,Unemployed,3,Rent,Home,Approved
53,Female,108,High School,Married,531,17,Self-Employed,0,Rent,Car,Rejected
44,Female,83,PhD,Married,371,23,Unemployed,0,Mortgage,Personal,Rejected
55,Male,138,PhD,Married,387,6,Self-Employed,1,Own,Personal,Approved
24,Female,83,Bachelor,Widowed,827,45,Unemployed,1,Mortgage,Personal,Rejected
22,Male,105,High School,Divorced,749,16,Employed,3,Mortgage,Education,Rejected
60,Female,75,PhD,Married,738,27,Unemployed,5,Rent,Personal,Rejected
62,Female,78,High School,Single,831,23,Employed,1,Mortgage,Education,Approved
68,Female,144,Master,Single,734,1,Self-Employed,2,Own,Car,Approved
48,Female,66,High School,Widowed,383,45,Unemployed,5,Own,Home,Rejected
40,Male,140,Bachelor,Married,638,7,Unemployed,1,Own,Business,Rejected
59,Male,121,Bachelor,Single,425,45,Employed,0,Mortgage,Business,Approved
27,Female,63,PhD,Married,317,39,Unemployed,3,Mortgage,Education,Rejected
49,Male,34,Master,Single,839,40,Self-Employed,2,Mortgage,Education,Rejected
60,Female,124,Master,Widowed,644,50,Employed,0,Own,Home,Approved
70,Female,70,High School,Single,767,49,Self-Employed,0,Own,Car,Rejected
47,Female,72,Master,Married,440,48,Retired,4,Own,Home,Rejected
56,Female,53,Bachelor,Married,305,49,Self-Employed,1,Mortgage,Education,Rejected
48,Female,143,PhD,Widowed,840,40,Employed,5,Own,Home,Rejected
35,Female,96,PhD,Divorced,364,39,Self-Employed,2,Own,Education,Rejected
53,Male,142,PhD,Married,355,18,Unemployed,3,Rent,Business,Rejected
19,Male,89,Master,Divorced,395,36,Self-Employed,3,Mortgage,Home,Approved
31,Female,40,Master,Married,514,22,Unemployed,3,Mortgage,Car,Rejected
30,Male,127,Bachelor,Widowed,357,2,Employed,4,Own,Business,Approved
46,Female,127,High School,Single,791,48,Unemployed,2,Rent,Car,Rejected
29,Male,109,High School,Divorced,704,26,Self-Employed,0,Rent,Car,Rejected
56,Male,98,PhD,Single,483,50,Retired,5,Own,Education,Approved
19,Male,61,PhD,Widowed,581,32,Unemployed,4,Rent,Car,Rejected
49,Female,71,Master,Widowed,462,23,Retired,5,Own,Personal,Rejected
30,Male,121,PhD,Widowed,388,40,Retired,5,Mortgage,Car,Rejected
63,Female,124,Bachelor,Married,396,46,Retired,1,Rent,Home,Rejected
44,Female,98,Bachelor,Married,387,18,Retired,0,Rent,Education,Rejected
66,Female,131,PhD,Married,817,19,Self-Employed,3,Rent,Education,Approved
58,Male,123,PhD,Married,362,24,Unemployed,1,Own,Personal,Approved
34,Male,35,PhD,Divorced,840,4,Employed,2,Mortgage,Education,Rejected
57,Male,115,PhD,Widowed,490,46,Employed,2,Rent,Education,Approved
48,Female,56,PhD,Divorced,577,2,Unemployed,5,Mortgage,Business,Rejected
51,Female,65,Bachelor,Married,838,30,Employed,4,Mortgage,Business,Approved
41,Male,21,High School,Single,384,49,Unemployed,2,Rent,Business,Rejected
62,Female,138,Bachelor,Divorced,634,38,Self-Employed,3,Mortgage,Personal,Rejected
52,Male,106,Bachelor,Single,740,31,Unemployed,4,Own,Education,Approved
65,Male,113,PhD,Married,471,40,Self-Employed,4,Own,Education,Approved
23,Male,22,High School,Divorced,638,16,Unemployed,3,Own,Education,Approved
36,Male,130,PhD,Divorced,528,33,Retired,2,Mortgage,Car,Approved
47,Female,20,Bachelor,Divorced,478,50,Retired,1,Own,Education,Rejected
24,Male,124,High School,Single,546,3,Self-Employed,4,Rent,Education,Rejected
27,Male,41,Master,Married,616,18,Employed,1,Mortgage,Home,Approved
58,Male,84,PhD,Widowed,585,10,Retired,1,Own,Home,Rejected
49,Male,40,Master,Widowed,375,2,Unemployed,1,Own,Education,Approved
51,Male,23,Master,Married,751,30,Employed,5,Own,Car,Rejected
45,Male,150,Master,Divorced,503,30,Employed,1,Own,Car,Approved
32,Male,132,Master,Widowed,723,25,Self-Employed,3,Rent,Personal,Approved
47,Female,49,High School,Divorced,492,43,Employed,0,Own,Personal,Rejected
54,Female,50,PhD,Married,592,24,Self-Employed,2,Rent,Education,Rejected
46,Female,39,High School,Single,712,35,Retired,0,Mortgage,Business,Rejected
39,Female,73,PhD,Divorced,738,10,Retired,5,Rent,Car,Rejected
21,Male,145,PhD,Single,600,48,Employed,0,Own,Business,Rejected
37,Female,34,PhD,Single,559,30,Employed,4,Own,Personal,Rejected
49,Female,76,High School,Married,491,26,Unemployed,0,Mortgage,Car,Rejected
53,Female,98,Bachelor,Married,570,35,Unemployed,0,Rent,Business,Rejected
67,Male,33,Master,Single,731,24,Self-Employed,3,Own,Education,Rejected
21,Female,110,Bachelor,Single,516,20,Employed,1,Rent,Business,Rejected
44,Female,33,Bachelor,Widowed,390,39,Employed,0,Own,Personal,Rejected
34,Male,118,Bachelor,Widowed,497,49,Unemployed,0,Mortgage,Car,Rejected
29,Female,52,Master,Married,698,40,Self-Employed,5,Rent,Car,Rejected
39,Male,20,Bachelor,Divorced,338,35,Unemployed,4,Own,Car,Approved
